duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity_class,energy_loudness,energy_valence,loudness_valence,danceability_energy,acousticness_speechiness,instr_speech_ratio,duration_per_bpm,vocal_intensity,energy_danceability_ratio
148049,0.565,0.88,-6.724,0.347,0.171,0.0,0.265,0.89,83.252,2,-5.917120000000001,0.7832,-5.984360000000001,0.4972,0.059337,0.0,1778.3236438764234,-2.333228,1.5574945576184496
187237,0.652,0.938,-3.256,0.0592,0.072,0.000695,0.0447,0.951,169.924,3,-3.0541279999999995,0.8920379999999999,-3.0964559999999994,0.611576,0.0042623999999999995,0.011737882114507683,1101.8867258303712,-0.1927552,1.4386282418981304
224853,0.607,0.536,-7.306,0.0305,0.386,0.0,0.102,0.434,147.986,4,-3.9160160000000004,0.23262400000000003,-3.170804,0.32535200000000003,0.011773,0.0,1519.4207560174611,-0.222833,0.8830167542544606
170666,0.741,0.739,-6.5,0.0428,0.0499,0.0,0.391,0.696,125.956,4,-4.8035,0.5143439999999999,-4.524,0.547599,0.00213572,0.0,1354.9652259519196,-0.2782,0.9972874859988394
232093,0.645,0.721,-5.222,0.0533,0.41,0.0,0.0816,0.748,145.954,3,-3.7650620000000004,0.539308,-3.9060560000000004,0.465045,0.021852999999999997,0.0,1590.1790975238773,-0.27833260000000004,1.1178121269437684
328400,0.588,0.888,-6.039,0.03,0.0504,0.00773,0.159,0.317,128.012,2,-5.362632,0.281496,-1.914363,0.5221439999999999,0.0015119999999999999,0.2575808063978674,2565.3844952035747,-0.18117,1.5101783983265593
228786,0.417,0.48,-5.553,0.0297,0.88,0.0,0.675,0.949,176.328,3,-2.66544,0.45552,-5.269797,0.20015999999999998,0.026136,0.0,1297.502381924595,-0.1649241,1.151051533536366
127634,0.709,0.779,-6.394,0.0759,0.0139,0.0,0.325,0.836,144.99,3,-4.980926,0.651244,-5.345384,0.552311,0.0010550099999999999,0.0,880.2951927719153,-0.4853046,1.0987151098009902
231562,0.799,0.929,-3.231,0.0668,0.253,0.000462,0.24,0.952,127.999,3,-3.001599,0.884408,-3.0759119999999998,0.7422710000000001,0.0169004,0.006915132465199821,1809.0922585332698,-0.2158308,1.162688827423937
206693,0.853,0.56,-4.961,0.0406,0.013,0.0,0.0944,0.86,134.066,4,-2.7781600000000006,0.48160000000000003,-4.26646,0.47768000000000005,0.0005277999999999999,0.0,1541.7257171840736,-0.2014166,0.6564987514800531
198751,0.636,0.848,-5.752,0.047,0.407,0.00382,0.0696,0.958,108.637,2,-4.877695999999999,0.812384,-5.510415999999999,0.539328,0.019129,0.08125930653052542,1829.4963962554193,-0.270344,1.3333123693023694
185733,0.48,0.101,-11.186,0.0516,0.949,1.24e-05,0.109,0.345,111.087,1,-1.129786,0.034845,-3.8591699999999998,0.04848,0.048968399999999995,0.00024026351482270877,1671.9598152799158,-0.5771976,0.2104122830774359
