duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity_class
365760,0,0.0762,0.989,9,-19.168,0,0.0625,0.00517,0.985,0.769,0.00392,82.249,3,2
161463,0,0.938,0.438,7,-11.077,1,0.063,0.673,0.0,0.0655,0.671,112.066,4,3
154573,0,0.753,0.181,0,-14.772,1,0.0496,0.939,0.0,0.217,0.868,137.373,4,1
238626,0,0.328,0.116,9,-14.55,1,0.0371,0.957,7.08e-05,0.388,0.259,181.687,3,1
187749,0,0.558,0.907,2,-5.871,1,0.0626,0.896,8.43e-06,0.461,0.84,118.743,4,3
213720,0,0.264,0.167,7,-20.194,0,0.0354,0.943,0.517,0.29,0.108,109.73,3,1
237045,0,0.569,0.752,7,-5.238,1,0.0307,0.0186,0.000168,0.143,0.189,114.967,4,4
202677,0,0.54,0.916,6,-6.275,1,0.0382,0.00237,0.00015,0.0622,0.262,126.999,4,1
113859,0,0.881,0.698,2,-6.102,1,0.0539,0.172,0.0,0.104,0.311,126.996,4,1
185500,0,0.626,0.913,0,-6.633,1,0.042,0.538,5.85e-06,0.0868,0.896,139.968,4,2
220400,0,0.602,0.89,5,-4.764,1,0.0459,0.0169,0.0,0.0883,0.706,124.05,4,2
337872,1,0.804,0.824,11,-3.613,1,0.108,0.102,0.0,0.11,0.815,98.0,4,3
144888,0,0.69,0.708,5,-7.626,1,0.0485,0.518,0.0,0.109,0.211,95.148,4,3
233196,0,0.808,0.266,11,-9.56,1,0.0326,0.818,1.1e-05,0.0907,0.666,100.034,4,4
230533,0,0.198,0.191,1,-13.251,1,0.0373,0.943,0.0467,0.155,0.0843,82.335,4,2
360840,0,0.146,0.947,0,-5.708,1,0.0838,7.68e-05,0.905,0.185,0.0891,104.353,4,3
176106,0,0.618,0.334,2,-8.498,1,0.0338,0.85,0.0,0.103,0.383,139.784,3,1
308053,0,0.744,0.847,11,-5.599,0,0.0416,0.269,3.27e-05,0.271,0.751,89.955,4,2
174106,0,0.607,0.704,8,-6.567,1,0.0488,0.101,0.0,0.3,0.897,162.944,4,3
223183,0,0.297,0.789,11,-4.398,0,0.0404,0.0017,0.0,0.249,0.533,160.044,4,4
401250,0,0.782,0.859,0,-8.953,1,0.0603,0.037,0.909,0.108,0.225,128.007,4,1
147800,0,0.524,0.614,0,-8.05,1,0.0363,0.202,0.0,0.0802,0.751,82.229,4,1
192000,0,0.89,0.643,9,-6.093,1,0.0688,0.135,0.0,0.241,0.97,132.08,4,4
250586,0,0.587,0.419,6,-8.807,1,0.0272,0.761,0.0,0.116,0.372,98.837,4,3
267320,0,0.471,0.973,1,-4.35,1,0.0806,2.29e-05,0.621,0.0243,0.152,130.034,4,3
174159,1,0.916,0.486,0,-9.205,0,0.489,0.406,0.0,0.21,0.652,97.028,4,1
280053,0,0.783,0.828,5,-9.037,0,0.0416,0.549,0.0,0.0608,0.92,94.509,4,2
249360,0,0.673,0.712,5,-9.633,1,0.0291,0.00154,0.000149,0.122,0.69,135.99,4,1
165626,0,0.331,0.755,3,-4.616,0,0.0415,0.127,3.38e-06,0.278,0.34,187.86,4,3
223933,0,0.588,0.979,1,-5.44,1,0.0336,0.00151,0.0146,0.0729,0.923,150.167,4,2
219746,0,0.575,0.846,7,-7.464,1,0.0381,0.101,0.000408,0.272,0.829,152.454,4,2
251946,0,0.523,0.938,10,-4.734,0,0.0599,7.86e-05,8.31e-06,0.076,0.21,124.968,4,3
110769,0,0.895,0.468,9,-10.915,1,0.396,0.00485,0.00354,0.0866,0.854,156.06,4,1
144253,0,0.64,0.902,5,-3.943,1,0.0365,0.0356,0.000467,0.241,0.941,127.019,4,1
407893,0,0.75,0.365,8,-15.05,1,0.0625,0.00474,0.87,0.0775,0.323,121.988,3,2
180490,0,0.694,0.888,11,-2.983,1,0.0723,0.0353,0.0,0.275,0.691,124.996,4,1
206060,0,0.796,0.572,8,-7.03,0,0.0545,0.416,2.55e-05,0.0975,0.304,98.967,4,4
137142,1,0.591,0.693,4,-8.683,0,0.386,0.727,0.0,0.313,0.602,139.58,4,2
143733,0,0.439,0.196,0,-16.093,1,0.0601,0.88,0.0,0.0513,0.525,129.581,4,1
192234,1,0.664,0.896,6,-3.873,1,0.287,0.107,0.0,0.336,0.686,168.012,4,1
198040,0,0.309,0.941,0,-3.558,0,0.0763,0.0587,0.0,0.435,0.704,100.02,4,4
263841,0,0.713,0.737,10,-10.735,0,0.154,0.123,0.0189,0.095,0.382,132.27,4,3
216093,0,0.364,0.00799,8,-33.09,1,0.0395,0.978,0.894,0.109,0.0674,101.226,4,4
158769,1,0.82,0.252,10,-9.193,0,0.0402,0.136,0.000295,0.184,0.209,129.994,4,3
264380,0,0.516,0.525,1,-16.094,1,0.0375,0.807,0.855,0.0642,0.671,128.012,4,1
241226,0,0.645,0.45,4,-6.628,1,0.0482,0.573,0.0,0.0768,0.413,90.01,4,1
225373,0,0.443,0.101,8,-20.067,1,0.0501,0.993,0.866,0.166,0.0789,102.632,4,3
367080,0,0.781,0.946,7,-6.774,1,0.122,0.00216,0.0,0.0798,0.673,138.036,4,1
180929,0,0.627,0.988,0,-5.331,1,0.0572,0.00253,2e-06,0.179,0.497,145.014,4,2
232966,0,0.813,0.876,1,-2.92,0,0.0922,0.024,0.0,0.287,0.757,98.989,4,4
